Block,Village,location,Latitude,Longitude,RL_(m),Hyd_Formation,Wl_post_202_m_bbgl,WL_pre_2021mbgl
Govindgarh,Purohito Ki Dhani,"Purohito Ki Dhani, Govindgarh, Rajasthan, India",27.7304995,75.3361163,217,Quartzite,46.9,47.4
Govindgarh,Kanarpura,"Kanarpura, Govindgarh, Rajasthan, India",26.4528117,74.3836719,218,Quartzite Schist,55.8,55.8
Govindgarh,KishanManpura,"KishanManpura, Govindgarh, Rajasthan, India",26.4528117,74.3836719,222,Quartzite Schist,88.2,88.2
Govindgarh,ItawaBhopji,"ItawaBhopji, Govindgarh, Rajasthan, India",27.2621667,75.7197039,223,Quartzite,88.7,91.8
Bassi,Barwa,"Barwa, Bassi, Rajasthan, India",26.9533189,76.1957618,227,Quartzite Schist,44.3,44.6
Bassi,Padasoli,"Padasoli, Bassi, Rajasthan, India",26.9431137,76.1830594,227,Quartzite Schist,34.5,35.4
Chaksu,Tootoli,"Tootoli, Chaksu, Rajasthan, India",26.6034639,75.9435991,232.1,Older Alluvium,19.55,21.8
Chaksu,Tuntoli,"Tuntoli, Chaksu, Rajasthan, India",26.6034639,75.9435991,232.1,Older Alluvium,16.3,17.8
Dudu,Mozmabad,"Mozmabad, Dudu, Rajasthan, India",26.6832448,75.2335695,272,Gneiss,3.3,6
Bassi,Kanota,"Kanota, Bassi, Rajasthan, India",26.8622557,75.9557586,274,Quartzite Schist,52.3,52.9
Chaksu,Dehlala,"Dehlala, Chaksu, Rajasthan, India",26.6034639,75.9435991,277,Quartzite Schist,31.2,36.9
Shahpura,Manohrpura_Pz,"Manohrpura_Pz, Shahpura, Rajasthan, India",27.2994432,75.9570743,288.15,"Younger
Alluvium",52.3,52.2
Chaksu,Garudasi,"Garudasi, Chaksu, Rajasthan, India",26.6034639,75.9435991,289,Quartzite Schist,20.7,21
Phagi,Nemeda,"Nemeda, Phagi, Rajasthan, India",26.578406,75.5684254,290,Gneiss,3.2,6.4
Chaksu,Akoriya,"Akoriya, Chaksu, Rajasthan, India",26.6034639,75.9435991,292,Quartzite Schist,7.8,9.9
Phagi,DAWACH1,"DAWACH1, Phagi, Rajasthan, India",26.578406,75.5684254,293,Gneiss,10.9,10.6
Chaksu,Kohliya,"Kohliya, Chaksu, Rajasthan, India",26.6292125,76.045942,293,Quartzite Schist,24.4,24.5
Chaksu,Kotkhawada,"Kotkhawada, Chaksu, Rajasthan, India",26.5977017,75.9480978,295,Quartzite Schist,29,30
Chaksu,Chaksu,"Chaksu, Chaksu, Rajasthan, India",26.6034639,75.9435991,297,Quartzite Schist,4.57,6.3
Phagi,Dabich,"Dabich, Phagi, Rajasthan, India",26.5662029,75.7629493,297,Older Alluvium,9.6,10.6
Phagi,DAWACH,"DAWACH, Phagi, Rajasthan, India",26.578406,75.5684254,299,Gneiss,12.5,14.3
Chaksu,Kadera,"Kadera, Chaksu, Rajasthan, India",26.582613,75.8359645,299,Mica Schist,13,14.9
Phagi,Lakhawas,"Lakhawas, Phagi, Rajasthan, India",26.4731847,75.5829782,299.39,Mica Schist,6.1,7.65
Phagi,Didata,"Didata, Phagi, Rajasthan, India",26.578406,75.5684254,300,Gneiss,8.7,13
Phagi,Didwata,"Didwata, Phagi, Rajasthan, India",26.4983892,75.7355736,300,Gneiss,7.25,12.2
Phagi,DidwataPz,"DidwataPz, Phagi, Rajasthan, India",26.578406,75.5684254,300,Gneiss,8.46,11.6
Chaksu,Rupaheri,"Rupaheri, Chaksu, Rajasthan, India",26.6034639,75.9435991,300,Quartzite Schist,13.8,17
Phagi,NemedaPz,"NemedaPz, Phagi, Rajasthan, India",26.578406,75.5684254,301,Gneiss,4.05,8.1
Phagi,Chittora,"Chittora, Phagi, Rajasthan, India",26.6377734,75.7044377,302,Gneiss,11.35,9.85
Phagi,Renwal Manji,"Renwal Manji, Phagi, Rajasthan, India",26.6877966,75.6789905,302,Mica Schist,22.95,24.55
Dudu,Gadota,"Gadota, Dudu, Rajasthan, India",26.6832448,75.2335695,302.5,Older Alluvium,4.9,7.6
Phagi,Dabich,"Dabich, Phagi, Rajasthan, India",26.5662029,75.7629493,302.93,Older Alluvium,9.5,9.2
Chaksu,CHAKSU,"CHAKSU, Chaksu, Rajasthan, India",26.6034639,75.9435991,303,Older Alluvium,11.4,17.75
Phagi,Parun,"Parun, Phagi, Rajasthan, India",26.578406,75.5684254,303,"Younger
Alluvium",2.35,5.9
Phagi,Jharana Khurd,"Jharana Khurd, Phagi, Rajasthan, India",26.576544,75.6585486,303.74,Mica Schist,3.6,5.7
Chaksu,Kohlya,"Kohlya, Chaksu, Rajasthan, India",26.6309964,76.0594972,304,Older Alluvium,24.9,25.3
Phagi,Madhorajpur,"Madhorajpur, Phagi, Rajasthan, India",26.5765285,75.648448,304,Gneiss,12.45,17.8
Chaksu,Sanwasa(Sanwalia),"Sanwasa(Sanwalia), Chaksu, Rajasthan, India",26.5620826,76.2392217,304,Quartzite Schist,9.1,9.1
Phagi,Chandama,"Chandama, Phagi, Rajasthan, India",26.578406,75.5684254,305,"Younger
Alluvium",4.24,10.55
Phagi,ChandamaKallan,"ChandamaKallan, Phagi, Rajasthan, India",26.578406,75.5684254,305,"Younger
Alluvium",3.25,6.95
Phagi,ParunPz,"ParunPz, Phagi, Rajasthan, India",26.578406,75.5684254,305,"Younger
Alluvium",7.35,13.25
Shahpura,Saiwar,"Saiwar, Shahpura, Rajasthan, India",27.010615,75.9477755,305,Yr. Alluvium,22.3,22.3
Dudu,Kachnaria,"Kachnaria, Dudu, Rajasthan, India",26.5175945,75.1891929,306,Gneiss,1.7,3
